,values
MSSubClass,-0.003338526120233995
LotFrontage,-0.00020431190601122987
LotArea,0.07290041743623756
YearBuilt,0.001823094100855488
YearRemodAdd,0.0011904259859671965
MasVnrArea,1.6030695336493794e-05
BsmtFinSF1,0.00837259551191508
BsmtFinSF2,-0.0010007267244597155
BsmtUnfSF,-0.003516667931944643
TotalBsmtSF,0.02192726870077953
1stFlrSF,0.014556929132656913
2ndFlrSF,-0.004170252868571954
LowQualFinSF,-0.0036795959298921376
GrLivArea,0.46162413740403035
GarageYrBlt,-4.1042479467663405e-05
GarageArea,0.00011071777513583722
WoodDeckSF,0.004615233129473448
OpenPorchSF,0.0026539887673516353
EnclosedPorch,0.003290390005064668
3SsnPorch,0.0032070729441161954
ScreenPorch,0.00972466422755366
MiscVal,-0.002621896301028443
MSZoning_C (all),-0.3364819883398974
MSZoning_FV,0.008669215420360329
MSZoning_RH,0.0
MSZoning_RL,0.0
MSZoning_RM,-0.036858230390064896
Street_Grvl,-0.0
Street_Pave,0.0
Alley_Grvl,-0.0
Alley_Pave,0.014989152544773529
LotShape_IR1,-0.005989140286608347
LotShape_IR2,0.0
LotShape_IR3,-0.0
LotShape_Reg,0.0
LandContour_Bnk,-0.028339391877964203
LandContour_HLS,0.0
LandContour_Low,-0.0
LandContour_Lvl,0.0
Utilities_AllPub,0.0
Utilities_NoSeWa,-0.0
LotConfig_Corner,0.009566018323492447
LotConfig_CulDSac,0.029752886785547522
LotConfig_FR2,-0.008658887808477322
LotConfig_FR3,-0.0
LotConfig_Inside,-0.0
LandSlope_Gtl,-0.0
LandSlope_Mod,0.006236073412171056
LandSlope_Sev,-0.0
Neighborhood_Blmngtn,0.0
Neighborhood_Blueste,-0.0
Neighborhood_BrDale,-0.0
Neighborhood_BrkSide,0.03745430796932999
Neighborhood_ClearCr,0.0058257436765770275
Neighborhood_CollgCr,0.0
Neighborhood_Crawfor,0.1143830596635669
Neighborhood_Edwards,-0.06171830977098356
Neighborhood_Gilbert,0.0
Neighborhood_IDOTRR,-0.008716114937676258
Neighborhood_MeadowV,-0.035914394641278456
Neighborhood_Mitchel,-0.02066388554659094
Neighborhood_NAmes,-0.0
Neighborhood_NPkVill,0.0
Neighborhood_NWAmes,-0.0006259085661014396
Neighborhood_NoRidge,0.059914462065823626
Neighborhood_NridgHt,0.06319692781911634
Neighborhood_OldTown,-0.00707060987634767
Neighborhood_SWISU,0.0
Neighborhood_Sawyer,-0.0
Neighborhood_SawyerW,-0.0
Neighborhood_Somerst,0.03998689301723046
Neighborhood_StoneBr,0.09375502914869321
Neighborhood_Timber,-0.0
Neighborhood_Veenker,0.0
Condition1_Artery,-0.0
Condition1_Feedr,-0.0
Condition1_Norm,0.049952194824253254
Condition1_PosA,0.0
Condition1_PosN,0.0
Condition1_RRAe,-0.0
Condition1_RRAn,0.0
Condition1_RRNe,-0.0
Condition1_RRNn,0.0
Condition2_Artery,-0.0
Condition2_Feedr,0.0
Condition2_Norm,0.0
Condition2_PosA,0.0
Condition2_PosN,-0.13839764433814783
Condition2_RRAe,-0.0
Condition2_RRAn,-0.0
Condition2_RRNn,0.0
BldgType_1Fam,0.01412950530444915
BldgType_2fmCon,0.0
BldgType_Duplex,-0.0
BldgType_Twnhs,-0.0
BldgType_TwnhsE,0.0
HouseStyle_1.5Fin,-0.0
HouseStyle_1.5Unf,0.0
HouseStyle_1Story,-0.0
HouseStyle_2.5Fin,0.0
HouseStyle_2.5Unf,0.0
HouseStyle_2Story,-0.01878622601100496
HouseStyle_SFoyer,0.0
HouseStyle_SLvl,0.0
RoofStyle_Flat,0.0
RoofStyle_Gable,-0.003942187458196707
RoofStyle_Gambrel,-0.0
RoofStyle_Hip,0.0
RoofStyle_Mansard,0.0
RoofStyle_Shed,0.0
RoofMatl_ClyTile,-0.19959732778385453
RoofMatl_CompShg,-0.0
RoofMatl_Membran,0.0
RoofMatl_Metal,0.0
RoofMatl_Roll,-0.0
RoofMatl_Tar&Grv,-0.0
RoofMatl_WdShake,0.0
RoofMatl_WdShngl,0.04842520657804844
Exterior1st_AsbShng,-0.0
Exterior1st_AsphShn,-0.0
Exterior1st_BrkComm,-0.0
Exterior1st_BrkFace,0.07250964279875356
Exterior1st_CBlock,-0.0
Exterior1st_CemntBd,-0.0
Exterior1st_HdBoard,-0.0017861932707017372
Exterior1st_ImStucc,-0.0
Exterior1st_MetalSd,0.0074042946879212205
Exterior1st_Plywood,-0.0
Exterior1st_Stone,-0.0
Exterior1st_Stucco,0.0
Exterior1st_VinylSd,0.0011932890537123876
Exterior1st_Wd Sdng,-0.004218369172403075
Exterior1st_WdShing,0.0
Exterior2nd_AsbShng,-0.0
Exterior2nd_AsphShn,0.0
Exterior2nd_Brk Cmn,0.0
Exterior2nd_BrkFace,-0.0
